Date;Ekspor-Non-Migas;KURS;Inflasi;
31/01/1993;2137.6;2065;2,92;
28/02/1993;2125.0;2064;2,03;
31/03/1993;2116.3;2069;1,49;
30/04/1993;2213.5;2071;0,15;
31/05/1993;2229.7;2077;0,14;
30/06/1993;2155.3;2084;0,24;
31/07/1993;2178.4;2093;0,67;
31/08/1993;2299.7;2097;0,32;
30/09/1993;2308.8;2103;0,28;
31/10/1993;2411.3;2104;0,59;
30/11/1993;2464.2;2098;0,41;
31/12/1993;2437.3;2104;0,53;
31/01/1994;1903.2;2110;1,25;
28/02/1994;2093.0;2124;1,76;
31/03/1994;2280.5;2149;0,7;
30/04/1994;2410.8;2157;0,24;
31/05/1994;2453.3;2161;0,52;
30/06/1994;2725.2;2167;0,12;
31/07/1994;2692.1;2167;1,37;
31/08/1994;2735.7;2164;0,89;
30/09/1994;2726.6;2176;0,53;
31/10/1994;2817.3;2172;0,89;
30/11/1994;2762.3;2175;0,45;
31/12/1994;2759.7;2188;0,52;
31/01/1995;2367.3;2213;1,16;
28/02/1995;2614.4;2218;1,31;
31/03/1995;2600.9;2226;0,57;
30/04/1995;2533.3;2230;1,69;
31/05/1995;2886.0;2228;0,49;
30/06/1995;2975.7;2227;0,16;
31/07/1995;2949.8;2230;0,71;
31/08/1995;3090.4;2251;0,32;
30/09/1995;3125.2;2271;0,38;
31/10/1995;3108.7;2266;0,64;
30/11/1995;3206.8;2282;0,42;
31/12/1995;3495.2;2286;0,79;
31/01/1996;2667.9;2290;2,16;
29/02/1996;2817.1;2301;1,71;
31/03/1996;2977.3;2331;-0,61;
30/04/1996;3090.4;2330;0,78;
31/05/1996;3204.5;2329;0,06;
30/06/1996;3298.3;2330;-0,07;
31/07/1996;3157.9;2334;0,68;
31/08/1996;3349.3;2342;0,27;
30/09/1996;3383.2;2329;-0,04;
31/10/1996;3336.9;2324;0,41;
30/11/1996;3357.1;2337;0,57;
31/12/1996;3452.8;2355;0,55;
31/01/1997;3020.2;2370;1,03;
28/02/1997;3020.2;2384;1,05;
31/03/1997;3113.2;2409;-0,12;
30/04/1997;3207.3;2425;0,56;
31/05/1997;3625.8;2437;0,19;
30/06/1997;3527.9;2445;-0,17;
31/07/1997;3698.2;2512;0,66;
31/08/1997;3823.2;2723;0,88;
30/09/1997;3790.5;3003;1,29;
31/10/1997;3564.4;3590;1,99;
30/11/1997;3731.3;3441;1,65;
31/12/1997;3701.2;4827;2,04;
31/01/1998;3344.5;9262;6,88;
28/02/1998;3058.0;8901;12,76;
31/03/1998;3839.6;9385;5,49;
30/04/1998;3138.1;7967;4,7;
